startTime,task,group,team,score
1673259608313,"vbs23-kis-v1","KIS-V","unitedjudges",0.0
1673259608313,"vbs23-kis-v1","KIS-V","Verge",627.9848262792581
1673259608313,"vbs23-kis-v1","KIS-V","QIVISE",0.0
1673259608313,"vbs23-kis-v1","KIS-V","vitrivr-VR",711.3812741597568
1673259608313,"vbs23-kis-v1","KIS-V","diveXplore",0.0
1673259608313,"vbs23-kis-v1","KIS-V","VISIONE",951.0837669384691
1673259608313,"vbs23-kis-v1","KIS-V","PERFECT MATCH",0.0
1673259608313,"vbs23-kis-v1","KIS-V","CVHunter",0.0
1673259608313,"vbs23-kis-v1","KIS-V","vitrivr",880.1118684856772
1673259608313,"vbs23-kis-v1","KIS-V","VideoCLIP",904.8412956023095
1673259608313,"vbs23-kis-v1","KIS-V","HTW",919.7035419556
1673259608313,"vbs23-kis-v1","KIS-V","VIREO",912.2183205956702
1673259608313,"vbs23-kis-v1","KIS-V","V-FIRST",833.8349710328819
1673259608313,"vbs23-kis-v1","KIS-V","4MR",0.0
1673259983533,"vbs23-avs1","AVS","unitedjudges",0.0
1673259983533,"vbs23-avs1","AVS","Verge",163.30275229357795
1673259983533,"vbs23-avs1","AVS","QIVISE",26.91131498470948
1673259983533,"vbs23-avs1","AVS","vitrivr-VR",222.01834862385311
1673259983533,"vbs23-avs1","AVS","diveXplore",78.28746177370031
1673259983533,"vbs23-avs1","AVS","VISIONE",130.27522935779814
1673259983533,"vbs23-avs1","AVS","PERFECT MATCH",15.902140672782874
1673259983533,"vbs23-avs1","AVS","CVHunter",196.33027522935768
1673259983533,"vbs23-avs1","AVS","vitrivr",121.71253822629971
1673259983533,"vbs23-avs1","AVS","VideoCLIP",151.6819571865443
1673259983533,"vbs23-avs1","AVS","HTW",286.8501529051986
1673259983533,"vbs23-avs1","AVS","VIREO",343.1192660550456
1673259983533,"vbs23-avs1","AVS","V-FIRST",62.38532110091747
1673259983533,"vbs23-avs1","AVS","4MR",63.6085626911315
1673260367861,"vbs23-kis-t1","KIS-T","unitedjudges",0.0
1673260367861,"vbs23-kis-t1","KIS-T","Verge",662.9573159971483
1673260367861,"vbs23-kis-t1","KIS-T","QIVISE",0.0
1673260367861,"vbs23-kis-t1","KIS-T","vitrivr-VR",743.4995188314546
1673260367861,"vbs23-kis-t1","KIS-T","diveXplore",709.8306616126322
